,Open,High,Low,Close,Volume,Adj Close
2025-11-03,4123.35986328125,4221.919921875,4123.35986328125,4221.8701171875,472700,4221.8701171875
2025-11-04,4219.240234375,4226.75,4117.91015625,4121.740234375,423500,4121.740234375
2025-11-05,4055.469970703125,4055.469970703125,3867.81005859375,4004.419921875,594200,4004.419921875
2025-11-06,4092.4599609375,4111.9599609375,3985.2900390625,4026.449951171875,423400,4026.449951171875
2025-11-07,3963.719970703125,4037.610107421875,3887.320068359375,3953.760009765625,377100,3953.760009765625
2025-11-10,3991.8701171875,4092.909912109375,3984.239990234375,4073.239990234375,339500,4073.239990234375
2025-11-11,4124.2998046875,4187.4599609375,4066.580078125,4106.39013671875,377600,4106.39013671875
2025-11-12,4097.43994140625,4154.6201171875,4088.860107421875,4150.39013671875,334600,4150.39013671875
2025-11-13,4127.56982421875,4188.5400390625,4123.83984375,4170.6298828125,424200,4170.6298828125
2025-11-14,4061.909912109375,4092.760009765625,4011.39990234375,4011.570068359375,400000,4011.570068359375
2025-11-17,4078.570068359375,4089.8798828125,4045.39990234375,4089.25,344100,4089.25
2025-11-18,4044.469970703125,4072.409912109375,3953.260009765625,3953.6201171875,319700,3953.6201171875
2025-11-19,3966.639892578125,3966.639892578125,3854.949951171875,3929.510009765625,338200,3929.510009765625
2025-11-20,4030.969970703125,4059.3701171875,4001.31005859375,4004.85009765625,360300,4004.85009765625
2025-11-21,3908.699951171875,3911.550048828125,3838.4599609375,3853.260009765625,319300,3853.260009765625
2025-11-24,3915.159912109375,3917.159912109375,3838.199951171875,3846.06005859375,373100,3846.06005859375
2025-11-25,3942.360107421875,3946.610107421875,3833.35009765625,3857.780029296875,279300,3857.780029296875
2025-11-26,3891.8798828125,3960.8701171875,3866.659912109375,3960.8701171875,295300,3960.8701171875
2025-11-27,3989.449951171875,4023.419921875,3968.429931640625,3986.909912109375,257900,3986.909912109375
2025-11-28,3995.300048828125,3995.300048828125,3921.889892578125,3926.590087890625,241900,3926.590087890625
2025-12-01,3967.919921875,3977.31005859375,3892.080078125,3920.3701171875,296900,3920.3701171875
2025-12-02,3939.090087890625,3994.929931640625,3935.139892578125,3994.929931640625,319000,3994.929931640625
2025-12-03,4010.260009765625,4052.830078125,3987.760009765625,4036.300048828125,290900,4036.300048828125
2025-12-04,4018.909912109375,4028.530029296875,3982.5400390625,4028.510009765625,352000,4028.510009765625
2025-12-05,4023.5,4100.0498046875,4003.2900390625,4100.0498046875,478500,4100.0498046875
2025-12-08,4109.25,4154.85009765625,4081.260009765625,4154.85009765625,395600,4154.85009765625
2025-12-09,4129.77001953125,4152.18017578125,4121.2099609375,4143.5498046875,400600,4143.5498046875
2025-12-10,4159.0498046875,4172.64013671875,4123.60009765625,4135.0,317900,4135.0
2025-12-11,4163.31982421875,4170.77001953125,4103.2001953125,4110.6201171875,539800,4110.6201171875
2025-12-12,4123.830078125,4168.169921875,4120.72998046875,4167.16015625,426600,4167.16015625
2025-12-15,4053.739990234375,4123.18994140625,4052.64990234375,4090.590087890625,346800,4090.590087890625
2025-12-16,4093.320068359375,4099.009765625,3996.22998046875,3999.1298828125,374000,3999.1298828125
2025-12-17,4019.429931640625,4060.239990234375,3994.64990234375,4056.409912109375,361000,4056.409912109375
2025-12-18,3989.60009765625,4030.64990234375,3975.5,3994.510009765625,581400,3994.510009765625
2025-12-19,4055.780029296875,4055.780029296875,3997.050048828125,4020.550048828125,442700,4020.550048828125
2025-12-22,4096.259765625,4105.93017578125,4083.1298828125,4105.93017578125,315600,4105.93017578125
2025-12-23,4127.39990234375,4140.83984375,4110.25,4117.31982421875,385800,4117.31982421875
2025-12-24,4136.240234375,4137.2001953125,4106.6201171875,4108.6201171875,363600,4108.6201171875
2025-12-26,4130.3701171875,4143.14013671875,4116.52978515625,4129.68017578125,510200,4129.68017578125
2025-12-29,4146.47998046875,4220.56005859375,4146.47998046875,4220.56005859375,502400,4220.56005859375
2025-12-30,4193.75,4226.35986328125,4186.9501953125,4214.169921875,408200,4214.169921875
